DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 11:53:34 2020, 21.2,52.6,1006.91,26.26,6.5,33.13, 
Tue Apr 21 11:55:16 2020, 21.19,52.59,1006.89,26.24,6.5,16.92, 
Tue Apr 21 11:56:58 2020, 21.2,52.49,1006.88,26.01,6.5,95.03, 
Tue Apr 21 11:58:39 2020, 21.21,51.95,1006.88,24.9,6.5,143.01, 
Tue Apr 21 12:00:21 2020, 21.22,52.02,1006.86,25.04,6.5,43.09, 
Tue Apr 21 12:02:03 2020, 21.25,51.89,1006.8,24.76,6.5,116.08, 
Tue Apr 21 12:03:45 2020, 21.28,51.52,1006.82,24.0,6.5,28.66, 
Tue Apr 21 12:05:26 2020, 21.33,52.08,1006.91,25.17,6.5,142.14, 
Tue Apr 21 12:07:07 2020, 21.38,52.2,1006.88,25.41,6.5,133.9, 
Tue Apr 21 12:08:49 2020, 21.41,52.38,1006.84,25.79,6.5,146.2, 
Tue Apr 21 12:10:31 2020, 21.47,52.54,1006.89,26.14,6.5,7.57, 
Tue Apr 21 12:12:12 2020, 21.48,52.39,1006.93,25.81,6.5,88.27, 
Tue Apr 21 12:13:54 2020, 21.51,52.32,1006.89,25.67,6.5,90.33, 
Tue Apr 21 12:15:35 2020, 21.56,52.54,1006.91,26.13,6.5,110.57, 
Tue Apr 21 12:17:17 2020, 21.57,51.56,1006.88,24.09,6.5,146.23, 
Tue Apr 21 12:18:58 2020, 21.58,51.46,1006.86,23.88,6.5,100.2, 
Tue Apr 21 12:20:40 2020, 21.6,51.67,1006.91,24.31,6.5,127.05, 
Tue Apr 21 12:22:22 2020, 21.62,51.82,1007.01,24.62,6.5,95.65, 
Tue Apr 21 12:24:04 2020, 21.67,51.92,1006.91,24.84,6.5,116.3, 
Tue Apr 21 12:25:45 2020, 21.7,52.03,1006.95,25.05,6.5,43.19, 
Tue Apr 21 12:27:27 2020, 21.74,52.2,1006.93,25.41,6.5,16.49, 
Tue Apr 21 12:29:08 2020, 21.76,52.11,1006.95,25.23,6.5,70.83, 
Tue Apr 21 12:30:50 2020, 21.82,52.05,1006.99,25.11,6.5,120.32, 
Tue Apr 21 12:32:31 2020, 21.86,52.21,1006.95,25.45,6.5,122.19, 
Tue Apr 21 12:34:13 2020, 21.91,52.63,1006.97,26.31,6.5,130.29, 
Tue Apr 21 12:35:55 2020, 21.95,52.73,1007.01,26.53,6.5,105.23, 
Tue Apr 21 12:37:37 2020, 21.97,52.68,1006.99,26.43,6.5,112.06, 
Tue Apr 21 12:39:18 2020, 22.0,52.79,1006.99,26.65,6.5,38.58, 
Tue Apr 21 12:41:00 2020, 22.07,52.8,1007.03,26.67,6.5,36.25, 
Tue Apr 21 12:42:42 2020, 22.08,52.88,1006.99,26.83,6.5,51.64, 
Tue Apr 21 12:44:23 2020, 22.15,52.81,1007.01,26.68,6.5,143.72, 
Tue Apr 21 12:46:05 2020, 22.18,52.56,1007.01,26.16,6.5,133.59, 
Tue Apr 21 12:47:47 2020, 22.2,52.13,1007.01,25.27,6.5,152.62, 
Tue Apr 21 12:49:29 2020, 22.17,49.09,1007.03,18.93,6.5,120.55, 
Tue Apr 21 12:51:11 2020, 22.18,49.9,1007.05,20.62,6.5,82.13, 
Tue Apr 21 12:52:53 2020, 22.19,49.27,1007.05,19.31,6.5,32.95, 
Tue Apr 21 12:54:35 2020, 22.22,49.39,1007.05,19.57,6.5,32.04, 
Tue Apr 21 12:56:17 2020, 22.24,49.42,1007.01,19.63,6.5,37.76, 
Tue Apr 21 12:57:59 2020, 22.29,50.04,1007.09,20.92,6.5,26.48, 
Tue Apr 21 12:59:41 2020, 22.33,50.35,1007.09,21.55,6.5,122.6, 
Tue Apr 21 13:01:23 2020, 22.37,50.28,1007.07,21.43,6.5,39.81, 
Tue Apr 21 13:03:05 2020, 22.4,50.23,1007.15,21.31,6.5,18.31, 
Tue Apr 21 13:04:47 2020, 22.43,50.23,1007.07,21.32,6.5,9.15, 
Tue Apr 21 13:06:29 2020, 22.42,49.2,1007.09,19.16,6.5,3.53, 
Tue Apr 21 13:15:22 2020, 22.45,49.0,1007.01,18.75,6.5,50.99, 
Tue Apr 21 13:17:04 2020, 22.51,49.12,1007.05,19.0,6.5,13.56, 
Tue Apr 21 13:18:46 2020, 22.56,49.14,1007.07,19.04,6.5,26.72, 
Tue Apr 21 13:20:28 2020, 22.59,49.04,1007.05,18.84,6.5,3.97, 
Tue Apr 21 13:22:09 2020, 22.63,49.52,1006.97,19.83,6.5,63.3, 
Tue Apr 21 13:23:51 2020, 22.68,49.3,1007.01,19.38,6.5,49.92, 
Tue Apr 21 13:25:32 2020, 22.7,49.55,1007.01,19.89,6.5,61.5, 
Tue Apr 21 13:27:14 2020, 22.74,49.93,1006.97,20.69,6.5,114.92, 
Tue Apr 21 13:28:56 2020, 22.79,49.8,1006.91,20.43,6.5,106.8, 
Tue Apr 21 13:30:37 2020, 22.83,49.61,1006.93,20.03,6.5,123.74, 
Tue Apr 21 13:32:19 2020, 22.83,48.75,1006.86,18.23,6.5,144.71, 
Tue Apr 21 13:34:00 2020, 22.85,49.27,1006.89,19.31,6.5,140.88, 
Tue Apr 21 13:35:42 2020, 22.87,49.31,1006.88,19.4,6.5,139.25, 
Tue Apr 21 13:37:24 2020, 22.88,49.28,1006.89,19.34,6.5,46.82, 
Tue Apr 21 13:39:05 2020, 22.91,49.31,1006.86,19.39,6.5,25.86, 
Tue Apr 21 13:40:47 2020, 22.89,48.88,1006.88,18.49,6.5,59.88, 
Tue Apr 21 13:42:28 2020, 22.88,49.28,1006.86,19.34,6.5,113.2, 
Tue Apr 21 13:44:10 2020, 22.91,48.88,1006.76,18.51,6.5,119.34, 
Tue Apr 21 13:45:51 2020, 22.89,48.7,1006.8,18.13,6.5,141.74, 
Tue Apr 21 13:47:33 2020, 22.9,48.93,1006.78,18.6,6.5,7.84, 
Tue Apr 21 13:49:15 2020, 22.9,48.63,1006.76,17.98,6.5,37.95, 
Tue Apr 21 13:50:57 2020, 22.84,47.61,1006.7,15.85,6.5,126.09, 
Tue Apr 21 13:52:38 2020, 22.82,47.82,1006.7,16.3,6.5,50.75, 
Tue Apr 21 13:54:19 2020, 22.74,46.44,1006.7,13.43,6.5,133.29, 
Tue Apr 21 13:56:01 2020, 22.62,44.74,1006.7,9.88,6.5,128.37, 
Tue Apr 21 13:57:43 2020, 22.54,44.25,1006.74,8.85,6.5,45.97, 
Tue Apr 21 13:59:24 2020, 22.52,44.57,1007.09,9.51,6.5,128.93, 
Tue Apr 21 14:01:06 2020, 22.37,43.55,1006.78,7.4,6.5,153.36, 
Tue Apr 21 14:02:48 2020, 22.21,41.18,1006.74,0.0,6.5,70.41, 
Tue Apr 21 14:04:29 2020, 22.08,39.95,1006.74,0.0,6.5,22.58, 
Tue Apr 21 14:06:11 2020, 21.94,39.8,1006.66,0.0,6.5,17.13, 
Tue Apr 21 14:07:52 2020, 21.83,39.35,1006.5,0.0,6.5,47.88, 
Tue Apr 21 14:09:34 2020, 21.77,39.78,1006.54,0.0,6.5,27.59, 
Tue Apr 21 14:11:16 2020, 21.84,40.11,1006.54,0.0,6.5,47.93, 
Tue Apr 21 14:12:58 2020, 21.87,40.15,1006.39,0.0,6.5,48.07, 
Tue Apr 21 14:14:40 2020, 22.0,40.41,1006.46,0.0,6.5,51.72, 
Tue Apr 21 14:16:21 2020, 22.07,40.67,1006.37,0.0,6.5,51.51, 
Tue Apr 21 14:18:03 2020, 22.13,41.03,1006.42,0.0,6.5,47.17, 
Tue Apr 21 14:19:44 2020, 22.17,41.36,1006.31,0.0,6.5,33.17, 
Tue Apr 21 14:21:26 2020, 22.19,41.78,1006.35,0.0,6.5,18.9, 
Tue Apr 21 14:23:08 2020, 22.22,42.06,1006.33,4.28,6.5,33.07, 
Tue Apr 21 14:24:49 2020, 22.21,42.43,1006.35,5.06,6.5,117.46, 
Tue Apr 21 14:26:31 2020, 22.24,42.49,1006.39,5.2,6.5,124.43, 
Tue Apr 21 14:28:12 2020, 22.35,43.58,1006.35,7.45,6.5,150.99, 
Tue Apr 21 14:29:54 2020, 22.44,43.63,1006.41,7.55,6.5,123.76, 
Tue Apr 21 14:31:36 2020, 22.5,43.75,1006.39,7.81,6.5,62.32, 
Tue Apr 21 14:33:17 2020, 22.55,43.92,1006.44,8.16,6.5,27.65, 
Tue Apr 21 14:34:59 2020, 22.6,44.0,1006.41,8.33,6.5,51.16, 
Tue Apr 21 14:36:40 2020, 22.64,44.15,1006.33,8.64,6.5,115.3, 
Tue Apr 21 14:38:22 2020, 22.66,44.26,1006.42,8.86,6.5,129.3, 
Tue Apr 21 14:40:04 2020, 22.62,43.4,1006.42,7.08,6.5,115.23, 
Tue Apr 21 14:41:45 2020, 22.56,43.73,1006.39,7.76,6.5,114.53, 
Tue Apr 21 14:43:27 2020, 22.53,43.42,1006.35,7.12,6.5,128.25, 
Tue Apr 21 14:45:09 2020, 22.53,43.35,1006.41,6.99,6.5,117.89, 
Tue Apr 21 14:46:50 2020, 22.54,43.28,1006.41,6.84,6.5,123.25, 
Tue Apr 21 14:48:32 2020, 22.55,43.2,1006.42,6.66,6.5,123.55, 
Tue Apr 21 14:50:13 2020, 22.55,43.43,1006.37,7.15,6.5,58.84, 
Tue Apr 21 14:51:55 2020, 22.56,43.36,1006.44,7.0,6.5,113.76, 
Tue Apr 21 14:53:36 2020, 22.57,43.52,1006.44,7.33,6.5,121.4, 
Tue Apr 21 14:55:18 2020, 22.61,43.66,1006.41,7.63,6.5,121.64, 
Tue Apr 21 14:57:00 2020, 22.61,43.92,1006.39,8.18,6.5,130.05, 
Tue Apr 21 14:58:42 2020, 22.62,44.21,1006.41,8.77,6.5,115.24, 
Tue Apr 21 15:00:23 2020, 22.64,44.13,1006.42,8.61,6.5,3.52, 
Tue Apr 21 15:02:05 2020, 22.64,43.99,1006.42,8.32,6.5,130.75, 
Tue Apr 21 15:03:47 2020, 22.68,44.35,1006.42,9.07,6.5,133.35, 
Tue Apr 21 15:05:28 2020, 22.7,44.58,1006.46,9.53,6.5,137.49, 
Tue Apr 21 15:07:10 2020, 22.73,44.78,1006.46,9.95,6.5,44.65, 
Tue Apr 21 15:08:51 2020, 22.77,44.97,1006.39,10.35,6.5,54.81, 
Tue Apr 21 15:10:33 2020, 22.8,44.98,1006.46,10.37,6.5,38.99, 
Tue Apr 21 15:12:15 2020, 22.78,44.42,1006.39,9.2,6.5,28.35, 
Tue Apr 21 15:13:56 2020, 22.77,44.1,1006.39,8.53,6.5,39.35, 
Tue Apr 21 15:15:38 2020, 22.73,44.13,1006.42,8.6,6.5,118.83, 
Tue Apr 21 15:17:19 2020, 22.72,44.56,1006.37,9.5,6.5,3.74, 
Tue Apr 21 15:19:01 2020, 22.75,44.58,1006.44,9.55,6.5,63.65, 
Tue Apr 21 15:20:42 2020, 22.78,44.53,1006.41,9.45,6.5,68.77, 
Tue Apr 21 15:22:24 2020, 22.79,44.52,1006.41,9.41,6.5,64.96, 
Tue Apr 21 15:24:06 2020, 22.77,44.68,1006.44,9.75,6.5,100.59, 
Tue Apr 21 15:25:47 2020, 22.82,44.86,1006.44,10.13,6.5,42.89, 
Tue Apr 21 15:27:29 2020, 22.86,45.0,1006.46,10.41,6.5,13.95, 
Tue Apr 21 15:29:10 2020, 22.98,45.11,1006.48,10.65,6.5,115.03, 
Tue Apr 21 15:30:52 2020, 23.06,45.25,1006.41,10.93,6.5,149.09, 
Tue Apr 21 15:32:33 2020, 23.11,44.74,1006.46,9.88,6.5,66.45, 
Tue Apr 21 15:34:15 2020, 23.11,44.03,1006.46,8.4,6.5,40.8, 
Tue Apr 21 15:35:56 2020, 23.11,44.03,1006.44,8.4,6.5,30.19, 
Tue Apr 21 15:37:38 2020, 23.11,44.03,1006.41,8.4,6.5,106.6, 
Tue Apr 21 15:39:19 2020, 23.11,44.1,1006.37,8.54,6.5,19.25, 
Tue Apr 21 15:41:01 2020, 23.11,44.04,1006.39,8.41,6.5,1.4, 
Tue Apr 21 15:42:43 2020, 23.09,44.53,1006.33,9.45,6.5,147.65, 
Tue Apr 21 15:44:25 2020, 23.04,44.46,1006.35,9.29,6.5,136.31, 
Tue Apr 21 15:46:06 2020, 23.02,44.52,1006.31,9.41,6.5,4.1, 
Tue Apr 21 15:47:48 2020, 23.05,45.01,1006.27,10.44,6.5,56.36, 
Tue Apr 21 15:49:29 2020, 23.12,45.54,1006.31,11.55,6.5,55.87, 
Tue Apr 21 15:51:11 2020, 23.16,45.72,1006.29,11.91,6.5,57.78, 
Tue Apr 21 15:52:53 2020, 23.13,45.51,1006.41,11.47,6.5,29.72, 
Tue Apr 21 15:54:34 2020, 23.1,45.18,1006.33,10.79,6.5,137.53, 
Tue Apr 21 15:56:16 2020, 23.15,44.8,1006.39,10.0,6.5,129.02, 
Tue Apr 21 15:57:57 2020, 23.16,44.78,1006.31,9.95,6.5,113.07, 
Tue Apr 21 15:58:33 2020, 23.19,44.75,1006.31,9.9,6.5,123.72, 
Tue Apr 21 15:59:14 2020, 23.2,44.71,1006.29,9.8,6.5,114.29, 
Tue Apr 21 16:00:57 2020, 23.24,44.7,1006.33,9.79,6.5,126.62, 
Tue Apr 21 16:02:40 2020, 23.24,44.88,1006.37,10.18,6.5,134.14, 
Tue Apr 21 16:04:23 2020, 23.25,44.75,1006.23,9.9,6.5,112.37, 
Tue Apr 21 16:06:06 2020, 23.23,44.79,1006.31,9.98,6.5,104.09, 
Tue Apr 21 16:07:48 2020, 23.31,45.14,1006.29,10.71,6.5,136.15, 
Tue Apr 21 16:09:31 2020, 23.35,46.29,1006.31,13.1,6.5,146.81, 
Tue Apr 21 16:11:14 2020, 23.29,45.47,1006.27,11.4,6.5,120.2, 
Tue Apr 21 16:12:56 2020, 23.13,45.22,1006.29,10.88,6.5,67.88, 
Tue Apr 21 16:14:39 2020, 23.04,45.35,1006.23,11.14,6.5,21.14, 
Tue Apr 21 16:16:22 2020, 22.99,45.44,1006.29,11.33,6.5,24.88, 
Tue Apr 21 16:18:05 2020, 22.96,45.5,1006.31,11.45,6.5,141.83, 
Tue Apr 21 16:19:48 2020, 22.94,45.59,1006.29,11.65,6.5,125.69, 
Tue Apr 21 16:21:31 2020, 22.97,45.56,1006.31,11.58,6.5,137.81, 
Tue Apr 21 16:23:13 2020, 22.94,45.63,1006.29,11.73,6.5,30.28, 
Tue Apr 21 16:24:56 2020, 22.93,45.67,1006.25,11.8,6.5,33.29, 
Tue Apr 21 16:26:38 2020, 22.92,45.66,1006.27,11.79,6.5,64.19, 
Tue Apr 21 16:28:21 2020, 22.94,45.63,1006.27,11.73,6.5,154.37, 
Tue Apr 21 16:30:03 2020, 22.91,45.62,1006.25,11.71,6.5,14.88, 
Tue Apr 21 16:31:46 2020, 22.92,45.65,1006.27,11.78,6.5,47.74, 
Tue Apr 21 16:33:28 2020, 22.93,45.68,1006.25,11.84,6.5,142.32, 
Tue Apr 21 16:35:11 2020, 22.99,45.7,1006.31,11.88,6.5,130.25, 
Tue Apr 21 16:36:54 2020, 22.98,45.69,1006.31,11.86,6.5,4.24, 
Tue Apr 21 16:38:37 2020, 23.0,45.79,1006.31,12.07,6.5,124.44, 
Tue Apr 21 16:40:19 2020, 23.01,45.94,1006.35,12.39,6.5,96.99, 
Tue Apr 21 16:42:02 2020, 23.04,45.87,1006.37,12.23,6.5,56.9, 
Tue Apr 21 16:43:44 2020, 23.06,45.91,1006.35,12.3,6.5,22.59, 
Tue Apr 21 16:45:27 2020, 23.11,46.06,1006.41,12.63,6.5,127.71, 
Tue Apr 21 16:47:10 2020, 23.12,45.93,1006.41,12.36,6.5,96.16, 
Tue Apr 21 16:48:52 2020, 23.08,45.85,1006.42,12.19,6.5,103.59, 
Tue Apr 21 16:50:35 2020, 23.05,46.06,1006.37,12.62,6.5,94.77, 
Tue Apr 21 16:52:19 2020, 23.04,46.07,1006.37,12.64,6.5,132.7, 
Tue Apr 21 16:54:02 2020, 23.03,45.95,1006.31,12.4,6.5,83.87, 
Tue Apr 21 16:55:44 2020, 23.04,46.07,1006.29,12.64,6.5,113.75, 
Tue Apr 21 16:57:27 2020, 23.05,46.15,1006.35,12.81,6.5,145.25, 
Tue Apr 21 16:59:10 2020, 22.98,45.91,1006.33,12.32,6.5,82.78, 
Tue Apr 21 17:00:53 2020, 23.01,46.31,1006.31,13.16,6.5,86.39, 
Tue Apr 21 17:02:35 2020, 23.04,46.4,1006.33,13.33,6.5,148.54, 
Tue Apr 21 17:04:18 2020, 23.09,46.34,1006.37,13.22,6.5,135.91, 
Tue Apr 21 17:06:01 2020, 23.11,46.81,1006.39,14.19,6.5,147.64, 
Tue Apr 21 17:07:43 2020, 23.08,46.44,1006.41,13.41,6.5,123.65, 
Tue Apr 21 17:09:26 2020, 23.09,46.45,1006.42,13.43,6.5,114.81, 
Tue Apr 21 17:11:08 2020, 23.1,46.8,1006.39,14.17,6.5,64.21, 
Tue Apr 21 17:12:51 2020, 23.09,46.58,1006.41,13.72,6.5,14.54, 
Tue Apr 21 17:14:34 2020, 23.01,46.1,1006.41,12.71,6.5,53.31, 
Tue Apr 21 17:16:17 2020, 22.94,46.03,1006.56,12.57,6.5,45.6, 
Tue Apr 21 17:17:59 2020, 23.0,46.35,1006.48,13.24,6.5,11.72, 
Tue Apr 21 17:19:42 2020, 23.1,46.94,1006.52,14.47,6.5,13.2, 
Tue Apr 21 17:21:25 2020, 23.14,46.61,1006.52,13.78,6.5,49.42, 
Tue Apr 21 17:23:08 2020, 23.16,46.5,1006.48,13.55,6.5,12.25, 
Tue Apr 21 17:24:50 2020, 23.17,46.55,1006.54,13.65,6.5,77.5, 
Tue Apr 21 17:26:33 2020, 23.12,46.15,1006.5,12.81,6.5,73.26, 
Tue Apr 21 17:28:16 2020, 23.02,45.99,1006.5,12.48,6.5,47.55, 
Tue Apr 21 17:29:59 2020, 23.04,46.14,1006.52,12.78,6.5,15.76, 
Tue Apr 21 17:31:41 2020, 22.9,45.92,1006.5,12.33,6.5,48.9, 
Tue Apr 21 17:33:24 2020, 22.91,45.79,1006.5,12.06,6.5,94.99, 
Tue Apr 21 17:35:07 2020, 22.94,45.78,1006.52,12.04,6.5,108.11, 
Tue Apr 21 17:36:49 2020, 23.02,46.1,1006.5,12.71,6.5,65.55, 
Tue Apr 21 17:38:32 2020, 23.21,46.72,1006.6,14.0,6.5,80.14, 
Tue Apr 21 17:40:15 2020, 23.4,47.46,1006.56,15.55,6.5,38.84, 
