DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 05:20:35 2020, 10.75,57.01,1005.66,35.43,6.5,12.98, 
Tue Apr 21 05:22:16 2020, 10.74,57.05,1005.66,35.52,6.5,22.02, 
Tue Apr 21 05:23:57 2020, 10.73,57.03,1005.68,35.49,6.5,37.01, 
Tue Apr 21 05:25:38 2020, 10.73,57.03,1005.7,35.49,6.5,25.2, 
Tue Apr 21 05:27:19 2020, 10.73,57.06,1005.72,35.54,6.5,47.21, 
Tue Apr 21 05:29:00 2020, 10.71,57.13,1005.7,35.69,6.5,19.61, 
Tue Apr 21 05:30:41 2020, 10.7,57.17,1005.76,35.78,6.5,42.21, 
Tue Apr 21 05:32:23 2020, 10.7,57.12,1005.72,35.67,6.5,2.22, 
Tue Apr 21 05:34:04 2020, 10.7,57.17,1005.74,35.77,6.5,38.66, 
Tue Apr 21 05:35:45 2020, 10.7,57.15,1005.74,35.74,6.5,3.26, 
Tue Apr 21 05:37:26 2020, 10.69,57.12,1005.74,35.66,6.5,45.38, 
Tue Apr 21 05:39:08 2020, 10.69,57.14,1005.82,35.71,6.5,47.33, 
Tue Apr 21 05:40:49 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:42:30 2020, 10.67,57.17,1005.82,35.78,6.5,33.31, 
Tue Apr 21 05:44:11 2020, 10.67,57.16,1005.82,35.75,6.5,108.12, 
Tue Apr 21 05:45:52 2020, 10.66,57.18,1005.82,35.79,6.5,17.69, 
Tue Apr 21 05:47:33 2020, 10.66,57.19,1005.84,35.82,6.5,8.52, 
Tue Apr 21 05:49:14 2020, 10.66,57.17,1005.84,35.78,6.5,27.05, 
Tue Apr 21 05:50:56 2020, 10.66,57.12,1005.88,35.66,6.5,0.62, 
Tue Apr 21 05:52:37 2020, 10.65,57.21,1005.88,35.85,6.5,24.95, 
Tue Apr 21 05:54:18 2020, 10.64,57.16,1005.88,35.74,6.5,70.76, 
Tue Apr 21 05:55:59 2020, 10.64,57.23,1005.94,35.89,6.5,27.71, 
Tue Apr 21 05:57:40 2020, 10.63,57.22,1005.98,35.87,6.5,36.61, 
Tue Apr 21 05:59:21 2020, 10.63,57.16,1005.96,35.74,6.5,36.5, 
Tue Apr 21 06:01:02 2020, 10.62,57.14,1005.98,35.71,6.5,129.69, 
Tue Apr 21 06:02:43 2020, 10.62,57.14,1005.98,35.71,6.5,155.02, 
Tue Apr 21 06:04:24 2020, 10.63,57.14,1006.0,35.7,6.5,42.6, 
Tue Apr 21 06:06:06 2020, 10.61,57.17,1006.04,35.76,6.5,0.62, 
