DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust 
Tue Apr 21 05:29:26 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:31:07 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:32:48 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:34:29 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:36:11 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:37:52 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:39:34 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:41:14 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:42:55 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:44:37 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:46:18 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:47:59 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:49:40 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:51:21 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:53:02 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:54:44 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:56:25 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:58:06 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 05:59:47 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:01:28 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:03:09 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:04:50 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:06:31 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:08:12 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:09:53 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:11:34 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:13:15 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:14:56 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:16:38 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:18:19 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:20:00 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:21:41 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:23:22 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:25:03 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:26:44 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:28:26 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:30:07 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:31:48 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:33:29 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:35:10 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:36:51 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:38:33 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:40:14 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:41:55 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:43:36 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:45:18 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:46:59 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:48:40 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:50:21 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:52:03 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:53:44 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:55:25 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:57:06 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 06:58:47 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:00:29 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:02:10 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:03:50 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:05:32 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:07:13 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:08:54 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:10:35 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:12:16 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:13:57 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:15:38 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:17:19 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:19:00 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:20:41 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:22:22 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:24:04 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:25:45 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:27:26 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:29:08 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:30:49 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 07:32:30 2020, 18.94,61.56,1007.27,419.91,6.5,0.62, 
Tue Apr 21 07:34:11 2020, 19.43,59.28,1007.31,334.98,6.5,0.62, 
Tue Apr 21 07:35:53 2020, 19.45,59.33,1007.31,252.2,6.5,63.93, 
Tue Apr 21 07:37:35 2020, 19.67,58.93,1007.34,163.1,6.5,0.62, 
Tue Apr 21 07:39:16 2020, 19.88,57.92,1007.27,62.59,6.5,55.54, 
Tue Apr 21 07:40:58 2020, 20.01,57.55,1007.27,36.56,6.5,81.53, 
Tue Apr 21 07:42:39 2020, 19.97,57.48,1007.29,36.43,6.5,34.19, 
Tue Apr 21 07:44:21 2020, 19.79,58.01,1007.31,37.51,6.5,56.01, 
Tue Apr 21 07:46:02 2020, 19.77,58.19,1007.36,37.89,6.5,0.62, 
Tue Apr 21 07:47:43 2020, 19.8,58.18,1007.31,37.88,6.5,76.87, 
Tue Apr 21 07:49:25 2020, 19.84,57.85,1007.29,37.19,6.5,35.44, 
Tue Apr 21 07:51:06 2020, 19.88,57.7,1007.29,36.87,6.5,0.62, 
Tue Apr 21 07:52:48 2020, 19.94,57.58,1007.27,36.63,6.5,15.68, 
Tue Apr 21 07:54:30 2020, 19.99,57.47,1007.25,36.4,6.5,0.62, 
