DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 03:27:12 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:28:53 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:30:35 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:32:16 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:33:57 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:35:38 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:37:19 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:39:01 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:40:41 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:42:23 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:44:03 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:45:44 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:47:26 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:49:07 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:50:48 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:52:29 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:54:11 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:55:52 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:57:33 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:59:14 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:00:56 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:02:37 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:04:18 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:05:59 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:07:41 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:09:22 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:11:03 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:12:44 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:14:25 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:16:06 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:17:47 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:19:28 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:21:09 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:22:51 2020,NaN,NaN,NaN,NaN,NaN,NaN 
